target_id,latitude,longitude,B02,B03,B04,B08,B11,B12,Red_NIR_Ratio,SWIR_Ratio,Visible_SWIR_Ratio,Red_SWIR_Index,Mn_Score,lithology,geological_age,distance_to_fault,distance_to_lineament,fault_density,distance_to_contact,elevation,slope,aspect_sin,aspect_cos,terrain_ruggedness,Mn_occurrence_density_5km,Mn_occurrence_density_10km,distance_to_road,distance_to_rail,distance_to_mine,distance_to_power,distance_to_processing,land_use,protected_area,geological_favorability,label
T08098,22.226259968246136,80.2046043148193,0.32081892097467746,0.2927046304800455,0.312410310022152,0.3113884525775948,0.05878601559130453,0.01,1.003281616373692,5.878601559130453,5.250306852535616,0.6832618669155629,8.061615790104957,5,2,5444.72989599475,3173.3179667167055,0.0,3614.89570482912,425.23308004772844,6.421109807735555,0.9311741816776704,0.7837273109870826,7.303076331030752,0.0,0.0,22.120305218848078,141.14476464829497,80.87195155694467,56.8119250498573,330.5128308333468,forest,1,0.023732680137737466,0.0
T11396,22.168370247071575,80.08094985055618,0.2933388477810478,0.2818180278687924,0.32210557502491377,0.22516765217125004,0.08738765053372266,0.011530679175410369,1.4305144274451027,7.578708001873844,3.422537186107713,0.5731912272076921,9.409561691087095,0,0,5489.822689016476,4157.866240200608,0.0,3057.3550038257385,410.8255562369786,2.4167171018370976,0.9231751358844025,0.44713090406196665,3.09027748949946,0.0,0.0,19.61194856682399,169.0746586969196,83.88600198248747,50.0968692410119,318.1649415339062,cropland,0,0.15872831902055565,0.0
T03210,22.130792196354175,80.18579349329566,0.18869845829361132,0.2217062652838952,0.21196766775489753,0.32201598199733167,0.2410999861448984,0.05415823184425275,0.6582520110963125,4.451769896001208,0.8604623629168872,-0.06430015062704961,27.147117889555727,2,2,6010.493551867392,2959.351623712229,0.8377514315114061,2948.106062423284,264.25961247748717,3.6211247412545884,0.14591451168646796,-0.8815706662367404,8.017411945592487,0.0,0.0,12.68731769995011,150.48116017520468,55.53869822549013,45.38190548040564,123.69158118503552,cropland,0,0.6120524607958748,0.0
T08616,21.052396243443347,80.22061785770768,0.2376705059502442,0.261793697512594,0.21056798593660236,0.2752463869673397,0.12118856969045975,0.06630425164618946,0.765016348649067,1.827764685998451,1.9529679826323751,0.2694126603683961,22.862288888674104,4,2,3257.4579694767326,3796.2869696808702,0.0,4157.043983468102,370.07557129966443,6.652016995735863,-0.604819711835926,-0.16446634417074346,5.468141228348445,0.0,0.0,9.986031368859738,169.88114121749805,59.18616554206353,45.89785517116373,192.90851815212767,cropland,0,0.20976709273896332,0.0
T09737,21.85491224387316,80.31353325826352,0.1261828601580655,0.16394999262702187,0.16392145570913655,0.3565234635595037,0.23136700679140615,0.1289853126055196,0.45977746898494964,1.7937469167439564,0.6541617072532534,-0.17062362674492934,36.09147177622036,2,2,4639.638160784361,1153.6153004845619,0.38927532465135795,1761.0804048430184,555.8281955979954,6.160443336749442,0.02009721928761743,-0.4738170332188618,3.1593611061865605,0.0,0.0,13.544587795082364,48.433496051055066,25.22825930508854,16.44358533938889,107.67155070279506,forest,0,0.6651144912584034,0.0
T05370,21.120361078192577,79.93443288368942,0.14631049333261362,0.15285241464629998,0.20372495420803494,0.29360665600048597,0.21323596717160753,0.16982370002788622,0.6938703535647971,1.2556313820544054,0.7861210733775753,-0.02281032220502225,40.202436676552345,2,2,2517.875877343242,3286.7071780179645,0.35182549649242595,4268.2933526555125,407.6146989670639,6.470933101577442,0.4788802842723221,0.54227320594432,4.257274430768783,0.0,2.0,17.717875911842896,74.05204814291967,29.96367420584899,20.10162488295624,80.67628785818444,cropland,0,0.6466782956410363,0.0
T10537,22.031968951690857,79.85538010912336,0.2415517942712224,0.27498634406278355,0.28156818489878,0.24688369860789225,0.02951038047318183,0.02419939094748841,1.1404891715672756,1.2194679005441926,9.014978350393026,0.8102705633999837,9.574526971350064,4,3,6807.27545038943,4665.319046237282,0.3271593819747798,4322.384980883819,369.9339619533269,1.9514137084123728,0.8195049314215865,0.8056902435627182,0.8890007997911734,0.0,0.0,13.412088142499638,212.00471054647392,75.83203050659799,63.88146455181057,272.4897436623811,cropland,0,0.011641622981309135,0.0
T00220,22.023973518444787,80.14802760821506,0.24317640868712276,0.28272455860420487,0.3664897998003328,0.2366048840168291,0.11370185802338925,0.017414514068771286,1.548952809335353,6.5291433096767255,2.6161717512950684,0.5264313481050554,12.735583041244272,3,0,3524.8359387886553,5409.676775632861,0.0,2400.4283326467903,304.6731610005568,1.3089438081619644,-0.8545175491688977,0.9999664302851243,3.2113556836573216,0.0,0.0,15.169246716629525,188.9527638681931,68.08586763496824,53.22849636288404,270.7875547828193,cropland,0,0.17193718387462803,0.0
T08486,22.232538404132384,80.39024149544709,0.24407629586085067,0.23155584163091825,0.28309861803763847,0.26401016911554676,0.10157329711848453,0.08565803023461555,1.072301945739588,1.185800056810522,2.489928544390144,0.47189647532620116,19.474198351333694,1,3,3217.304941367745,2582.4079274838223,1.0133658910612127,7770.463724891625,469.0243950782598,5.402837117261385,-0.4033282483911176,-0.9576457740006652,1.5035266514226375,0.0,0.0,16.067585441209925,125.93219232176553,39.49458756135421,40.981091585711525,132.0640515240949,forest,0,0.18703052652888336,0.0
T02547,22.043612096907232,80.86659700670256,0.11409061298273054,0.1924230647132601,0.18401468099761562,0.21285433214978228,0.18229962232086486,0.10109677240502143,0.864509916895313,1.803219014653826,0.8969269975232115,0.0046819320491006166,34.362124961835214,2,3,1582.3827845915885,1213.181505755484,0.12122536670510697,5419.091513966244,344.957597909621,4.927451432497,-0.8534577743053311,-0.22762477165327977,0.21041022087275302,0.0,0.0,5.08036426781015,40.25982016887573,18.01508021259169,15.217906221403517,81.54083453392224,barren,0,0.6212510627295602,0.0
